seq,#,Group,Group Label,Block,Block Label,Stage,Stage Label,Source,Status,Phase,Note,Description,Loop →,Bid Value,Bid: excavation,Work: excavation,Fallback: excavation,Bid: Last Minute: excavation,Bid: shoring,Work: shoring,Fallback: shoring,Bid: Last Minute: shoring,Bid: demolition,Work: demolition,Fallback: demolition,Bid: Last Minute: demolition,Bid: temporary-fencing,Work: temporary-fencing,Fallback: temporary-fencing,Bid: Last Minute: temporary-fencing,Bid: concrete,Work: concrete,Fallback: concrete,Bid: Last Minute: concrete,Bid: waterproofing,Work: waterproofing,Fallback: waterproofing,Bid: Last Minute: waterproofing,Bid: framing,Work: framing,Fallback: framing,Bid: Last Minute: framing,Bid: structural-steel,Work: structural-steel,Fallback: structural-steel,Bid: Last Minute: structural-steel,Bid: masonry,Work: masonry,Fallback: masonry,Bid: Last Minute: masonry,Bid: elevator,Work: elevator,Fallback: elevator,Bid: Last Minute: elevator,Bid: plumbing,Work: plumbing,Fallback: plumbing,Bid: Last Minute: plumbing,Bid: hvac,Work: hvac,Fallback: hvac,Bid: Last Minute: hvac,Bid: electrical,Work: electrical,Fallback: electrical,Bid: Last Minute: electrical,Bid: drain-plumbing,Work: drain-plumbing,Fallback: drain-plumbing,Bid: Last Minute: drain-plumbing,Bid: fire-protection,Work: fire-protection,Fallback: fire-protection,Bid: Last Minute: fire-protection,Bid: roofing,Work: roofing,Fallback: roofing,Bid: Last Minute: roofing,Bid: insulation,Work: insulation,Fallback: insulation,Bid: Last Minute: insulation,Bid: glazing,Work: glazing,Fallback: glazing,Bid: Last Minute: glazing,Bid: windows,Work: windows,Fallback: windows,Bid: Last Minute: windows,Bid: drywall,Work: drywall,Fallback: drywall,Bid: Last Minute: drywall,Bid: painting,Work: painting,Fallback: painting,Bid: Last Minute: painting,Bid: flooring,Work: flooring,Fallback: flooring,Bid: Last Minute: flooring,Bid: tiling,Work: tiling,Fallback: tiling,Bid: Last Minute: tiling,Bid: trim-work,Work: trim-work,Fallback: trim-work,Bid: Last Minute: trim-work,Bid: millwork-cabinetry,Work: millwork-cabinetry,Fallback: millwork-cabinetry,Bid: Last Minute: millwork-cabinetry,Bid: stone-countertops,Work: stone-countertops,Fallback: stone-countertops,Bid: Last Minute: stone-countertops,Bid: security,Work: security,Fallback: security,Bid: Last Minute: security,Bid: eavestrough-siding,Work: eavestrough-siding,Fallback: eavestrough-siding,Bid: Last Minute: eavestrough-siding,Bid: caulking,Work: caulking,Fallback: caulking,Bid: Last Minute: caulking,Bid: solar,Work: solar,Fallback: solar,Bid: Last Minute: solar,Bid: landscaping,Work: landscaping,Fallback: landscaping,Bid: Last Minute: landscaping,Bid: paving,Work: paving,Fallback: paving,Bid: Last Minute: paving,Bid: decking-fences,Work: decking-fences,Fallback: decking-fences,Bid: Last Minute: decking-fences,Bid: decks,Work: decks,Fallback: decks,Bid: Last Minute: decks,Bid: back-yard-fences,Work: back-yard-fences,Fallback: back-yard-fences,Bid: Last Minute: back-yard-fences,Bid: outdoor-patio,Work: outdoor-patio,Fallback: outdoor-patio,Bid: Last Minute: outdoor-patio,Bid: pool-installation,Work: pool-installation,Fallback: pool-installation,Bid: Last Minute: pool-installation,Bid: realtor,Work: realtor,Fallback: realtor,Bid: Last Minute: realtor,Group Color,Group Icon,Block Color,Block Icon,Stage Color,Stage Icon,Rows
71,118,I3,Enclosure & Finishes,B12.C,Interior Finals,a,Interior Final,insp.stage,Interior Final Inspection,P15,matches `interior final`,Interior finals inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#D1FAE5,🎨,#D1FAE5,🎨,#D1FAE5,🎨,"6,462"
72,119,I3,Enclosure & Finishes,B12.C,Interior Finals,b,Plumbing Final,insp.stage,Plumbing Final,P15,matches `plumbing final`,Plumbing final inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#D1FAE5,🎨,#D1FAE5,🎨,#D1FAE5,🎨,914
73,120,I3,Enclosure & Finishes,B12.C,Interior Finals,c,HVAC Final,insp.stage,HVAC Final,P15,matches `hvac final`,HVAC final inspection,↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,✓,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#D1FAE5,🎨,#D1FAE5,🎨,#D1FAE5,🎨,883
74,121,I3,Enclosure & Finishes,B12.D,Exterior Finals,a,Exterior Final,insp.stage,Exterior Final Inspection,P16,matches `exterior final`,"Exterior finals inspection (cladding, grading)",↩ same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,✓,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,✓,,,,✓,,✓,,✓,,✓,,,,✓,,,,✓,,,,✓,,,,✓,,,,,✓,,,✓,#D1FAE5,🎨,#D1FAE5,🎨,#D1FAE5,🎨,"7,432"
75,122,I4,Final / Specialty,B13.A,Project Final,a,Occupancy,insp.stage,Occupancy,P17,matches `occupancy`,Occupancy granted,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,✓,,,,✓,,,,✓,,,,,,,✓,✓,,,#FEF3C7,🏆,#FEF3C7,🏆,#DCFCE7,✅,"8,965"
76,123,I4,Final / Specialty,B13.A,Project Final,b,Final Inspection,insp.stage,Final Inspection,P17,matches `final inspection`,Project final inspection,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#DCFCE7,✅,"1,060"
77,124,I4,Final / Specialty,B13.B,Specialty,a,Pool Suction/Gravity,insp.stage,Pool Suction/Gravity Outlets,UNMAPPED→P17 fallback,No substring match,"Pool inspection — specialty, no §3 phase target",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,"2,232"
78,125,I4,Final / Specialty,B13.B,Specialty,b,Pool Circulation,insp.stage,Pool Circulation System,UNMAPPED→P17 fallback,No substring match,Pool inspection — specialty,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,"2,232"
79,126,I4,Final / Specialty,B13.B,Specialty,c,Repair/Retrofit,insp.stage,Repair/Retrofit,UNMAPPED→P17 fallback,No substring match,Repair / retrofit inspection — specialty,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,"1,132"
80,127,I4,Final / Specialty,B13.B,Specialty,d,Change of Use,insp.stage,Change of Use,UNMAPPED→P17 fallback,No substring match,Change-of-use inspection — specialty,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,"1,017"
81,128,I4,Final / Specialty,B13.B,Specialty,e,System,insp.stage,System,UNMAPPED→P17 fallback,No substring match,"Generic ""System"" inspection — specialty",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,"1,010"
82,129,I4,Final / Specialty,B13.B,Specialty,f,Security Device,insp.stage,Security Device,UNMAPPED→P17 fallback,No substring match,Security device inspection — specialty,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,"1,006"
83,130,I4,Final / Specialty,B13.B,Specialty,g,Tent/Portable Classroom,insp.stage,Tent/Portable Classroom,UNMAPPED→P17 fallback,No substring match,Tent / portable classroom inspection — specialty,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,"1,005"
84,131,I4,Final / Specialty,B13.C,Data-Quality Outliers,a,Final Interior,insp.stage,Final Interior,UNMAPPED→P17 fallback,Word-order issue — likely meant `interior final` (P15),Data-quality outlier (single row),—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,1
85,132,I4,Final / Specialty,B13.C,Data-Quality Outliers,b,HVAC Permit?,insp.stage,HVAC Permit?,P12,Matches `hvac`; `?` flags data-quality,"Data-quality outlier (single row, source-side question mark)",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,1
86,133,I4,Final / Specialty,B13.C,Data-Quality Outliers,c,Survey,insp.stage,Survey,UNMAPPED→P17 fallback,"Likely admin survey, not a construction phase",Data-quality outlier (single row),—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,1
87,134,I4,Final / Specialty,B13.C,Data-Quality Outliers,d,Survey Submitted?,insp.stage,Survey Submitted?,UNMAPPED→P17 fallback,Same as #133,"Data-quality outlier (single row, source-side question mark)",—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#FEF3C7,🏆,#FEF3C7,🏆,#E5E7EB,🐛,1
88,28,BP6,Revision,B14.A,Revision,a,Revision Issued,permits.status,Revision Issued,P8,"`REVISION_P8_SET` — §3 calls P8 ""Mobilization"" (drift)","City def: ""Notice of Change submitted to CBO and revision has been accepted""",↩ #8 (revision review),0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#F3E8FF,🔄,#F3E8FF,🔄,#F3E8FF,🔄,"20,698"
89,29,BP6,Revision,B14.A,Revision,b,Revised,permits.status,Revised,P8,`REVISION_P8_SET`,"City def: ""Notice of Change has been submitted to the Chief Building Official""",↩ #8 (revision review),0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#F3E8FF,🔄,#F3E8FF,🔄,#F3E8FF,🔄,27
90,30,BP6,Revision,B14.A,Revision,c,Order Complied,permits.status,Order Complied,P8,`REVISION_P8_SET`,Compliance order satisfied,→ #31 Inspection,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,#F3E8FF,🔄,#F3E8FF,🔄,#F3E8FF,🔄,22
91,34,BP7,Closure,B15.A,Wind-Down Cancellation,a,Pending Closed,permits.status,Pending Closed,P19,"`WINDDOWN_P19_SET` — §3 calls P19 ""Cancelled"" (drift)",File flagged for closure; final paperwork pending,→ #39 Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEF3C7,📅,#FEF3C7,📅,"6,699"
92,35,BP7,Closure,B15.A,Wind-Down Cancellation,b,Pending Cancellation,permits.status,Pending Cancellation,P19,`WINDDOWN_P19_SET`,"City def: ""Application dormant >5 months; owner/applicant notified of cancellation""",→ #51 Cancelled (if proceeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEF3C7,📅,#FEF3C7,📅,488
93,38,BP7,Closure,B15.A,Wind-Down Cancellation,c,Inspection Request to Cancel,permits.status,Inspection Request to Cancel,P19,`WINDDOWN_P19_SET`,Pending cancellation of a scheduled inspection request,→ #39 Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEF3C7,📅,#FEF3C7,📅,1
94,36,BP7,Closure,B15.B,Wind-Down Revocation,a,Revocation Pending,permits.status,Revocation Pending,P19,`WINDDOWN_P19_SET`,City has begun revocation proceedings,→ #49 Permit Revoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,🚫,#FECACA,🚫,"2,335"
95,37,BP7,Closure,B15.B,Wind-Down Revocation,b,Revocation Notice Sent,permits.status,Revocation Notice Sent,P19,`WINDDOWN_P19_SET`,Formal revocation notice issued to applicant,→ #49 Permit Revoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,🚫,#FECACA,🚫,1
96,39,BP7,Closure,B15.C,Closed,a,Closed,permits.status,Closed,P20,"`TERMINAL_P20_SET` — §3 calls P20 ""Revoked"" (drift)",File administratively closed (default terminal state),(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#E2E8F0,🏁,"10,695"
97,40,BP7,Closure,B15.C,Closed,b,File Closed,permits.status,File Closed,P20,`TERMINAL_P20_SET`,Variant of Closed,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#E2E8F0,🏁,6
98,41,BP7,Closure,B15.C,Closed,c,Permit Issued/Close File,permits.status,Permit Issued/Close File,P20,`TERMINAL_P20_SET`,Issued and immediately closed — trivial jobs,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#E2E8F0,🏁,#E2E8F0,🏁,2
99,42,BP7,Closure,B15.D,Dead — Refusal,a,Refusal Notice,permits.status,Refusal Notice,null (DEAD),`DEAD_STATUS_SET`,"City def: ""Application Accepted; Review resulted in Refused Notice sent to applicant""",(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,❌,#FECACA,❌,958
100,52,BP7,Closure,B15.D,Dead — Refusal,b,Refused,permits.status,Refused,null (DEAD),`DEAD_STATUS_SET`,Variant of #42,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,❌,#FECACA,❌,1
101,43,BP7,Closure,B15.E,Dead — Withdrawal,a,Abandoned,permits.status,Abandoned,null (DEAD),`DEAD_STATUS_SET`,File abandoned by applicant,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEE2E2,🗑️,#FEE2E2,🗑️,122
102,44,BP7,Closure,B15.E,Dead — Withdrawal,b,Application Withdrawn,permits.status,Application Withdrawn,null (DEAD),`DEAD_STATUS_SET`,Applicant explicitly withdrew,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEE2E2,🗑️,#FEE2E2,🗑️,49
103,47,BP7,Closure,B15.E,Dead — Withdrawal,c,Not Accepted,permits.status,Not Accepted,null (DEAD),`DEAD_STATUS_SET`,Application not accepted at intake,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEE2E2,🗑️,#FEE2E2,🗑️,9
104,49,BP7,Closure,B15.F,Dead — Revocation,a,Permit Revoked,permits.status,Permit Revoked,null (DEAD),`DEAD_STATUS_SET`,"City def: ""The Permit has been revoked""",(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,🚫,#FECACA,🚫,2
105,50,BP7,Closure,B15.F,Dead — Revocation,b,Revoked,permits.status,Revoked,null (DEAD),`DEAD_STATUS_SET` — §3 says P20 should fire here; doesn't,Variant of #49,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,🚫,#FECACA,🚫,2
106,45,BP7,Closure,B15.G,Dead — Enforcement,a,Work Suspended,permits.status,Work Suspended,null (DEAD),`DEAD_STATUS_SET`,Construction suspended by city order,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,⛔,#FECACA,⛔,18
107,46,BP7,Closure,B15.G,Dead — Enforcement,b,VIOLATION,permits.status,VIOLATION,null (DEAD),`DEAD_STATUS_SET`,"City def: ""There is an Inspection Order against this Permit""",(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,⛔,#FECACA,⛔,16
108,48,BP7,Closure,B15.G,Dead — Enforcement,c,Order Issued,permits.status,Order Issued,null (DEAD),`DEAD_STATUS_SET`,Compliance order against permit,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FECACA,⛔,#FECACA,⛔,7
109,51,BP7,Closure,B15.H,Dead — Other,a,Cancelled,permits.status,Cancelled,null (DEAD),`DEAD_STATUS_SET` — §3 says P19 should fire here; doesn't,Application cancelled,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEE2E2,🗑️,#FEE2E2,🗑️,1
110,53,BP7,Closure,B15.H,Dead — Other,b,Follow-up Required,permits.status,Follow-up Required,null (DEAD),`DEAD_STATUS_SET`,Follow-up flag on file,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2E8F0,🏁,#FEE2E2,🗑️,#FEE2E2,🗑️,1
